,hmid,predicted_category
8563,96932,affection
8564,96933,achievement
8565,96934,achievement
8566,96935,bonding
8567,96936,achievement
8568,96937,affection
8569,96938,affection
8570,96939,bonding
8571,96940,affection
8572,96942,affection
8573,96943,affection
8574,96944,affection
8575,96945,bonding
8576,96946,achievement
8577,96947,affection
8578,96948,affection
8579,96949,affection
8580,96950,achievement
8581,96951,affection
8582,96952,leisure
8583,96953,achievement
8584,96954,achievement
8585,96955,achievement
8586,96956,leisure
8587,96957,affection
8588,96958,achievement
8589,96959,affection
8590,96960,affection
8591,96961,leisure
8592,96962,achievement
8593,96964,achievement
8594,96965,achievement
8595,96966,affection
8596,96967,achievement
8597,96968,leisure
8598,96969,affection
8599,96971,achievement
8600,96972,achievement
8601,96973,affection
8602,96974,bonding
8603,96975,bonding
8604,96976,achievement
8605,96977,enjoy_the_moment
8606,96978,affection
8607,96979,achievement
8608,96980,leisure
8609,96981,achievement
8610,96982,affection
8611,96983,achievement
8612,96984,affection
8613,96985,achievement
8614,96986,bonding
8615,96987,achievement
8616,96988,affection
8617,96989,bonding
8618,96990,affection
8619,96991,affection
8620,96992,enjoy_the_moment
8621,96993,achievement
8622,96994,enjoy_the_moment
8623,96995,affection
8624,96996,achievement
8625,96997,affection
8626,96998,achievement
8627,96999,achievement
8628,97000,affection
8629,97001,bonding
8630,97002,affection
8631,97003,bonding
8632,97004,achievement
8633,97005,affection
8634,97006,enjoy_the_moment
8635,97007,affection
8636,97008,achievement
8637,97009,achievement
8638,97010,achievement
8639,97011,achievement
8640,97012,leisure
8641,97013,achievement
8642,97014,achievement
8643,97015,leisure
8644,97016,affection
8645,97017,achievement
8646,97018,achievement
8647,97019,affection
8648,97020,achievement
8649,97021,leisure
8650,97022,achievement
8651,97023,achievement
8652,97024,achievement
8653,97025,affection
8654,97026,achievement
8655,97027,bonding
8656,97028,affection
8657,97029,affection
8658,97030,affection
8659,97031,achievement
8660,97032,enjoy_the_moment
8661,97033,leisure
8662,97034,affection
8663,97035,achievement
8664,97036,achievement
8665,97037,affection
8666,97038,affection
8667,97039,achievement
8668,97040,achievement
8669,97041,achievement
8670,97042,achievement
8671,97043,affection
8672,97044,nature
8673,97045,achievement
8674,97046,affection
8675,97047,achievement
8676,97048,affection
8677,97049,affection
8678,97050,achievement
8679,97051,achievement
8680,97052,achievement
8681,97053,enjoy_the_moment
8682,97054,leisure
8683,97055,bonding
8684,97056,affection
8685,97057,achievement
8686,97058,achievement
8687,97059,achievement
8688,97060,affection
8689,97061,achievement
8690,97062,affection
8691,97063,affection
8692,97064,affection
8693,97065,affection
8694,97066,enjoy_the_moment
8695,97067,enjoy_the_moment
8696,97068,affection
8697,97069,enjoy_the_moment
8698,97070,achievement
8699,97071,affection
8700,97072,affection
8701,97073,leisure
8702,97074,affection
8703,97075,affection
8704,97076,achievement
8705,97077,achievement
8706,97078,affection
8707,97079,affection
8708,97080,affection
8709,97082,achievement
8710,97083,achievement
8711,97084,affection
8712,97085,enjoy_the_moment
8713,97086,achievement
8714,97087,leisure
8715,97088,affection
8716,97089,affection
8717,97090,affection
8718,97091,achievement
8719,97092,affection
8720,97093,enjoy_the_moment
8721,97094,leisure
8722,97095,achievement
8723,97096,affection
8724,97097,leisure
8725,97098,affection
8726,97099,affection
8727,97100,achievement
8728,97101,affection
8729,97102,leisure
8730,97103,achievement
8731,97104,leisure
8732,97105,enjoy_the_moment
8733,97106,affection
8734,97107,affection
8735,97108,enjoy_the_moment
8736,97109,bonding
8737,97110,leisure
8738,97111,affection
8739,97112,affection
8740,97113,affection
8741,97114,achievement
8742,97115,affection
8743,97116,achievement
8744,97117,affection
8745,97118,achievement
8746,97119,achievement
8747,97120,affection
8748,97121,achievement
8749,97122,affection
8750,97123,affection
8751,97124,enjoy_the_moment
8752,97125,leisure
8753,97126,affection
8754,97127,enjoy_the_moment
8755,97128,achievement
8756,97129,achievement
8757,97130,leisure
8758,97131,affection
8759,97132,enjoy_the_moment
8760,97133,achievement
8761,97134,leisure
8762,97135,bonding
8763,97136,achievement
8764,97137,achievement
8765,97138,affection
8766,97139,affection
8767,97140,affection
8768,97141,affection
8769,97142,affection
8770,97143,affection
8771,97144,leisure
8772,97145,leisure
8773,97146,nature
8774,97147,achievement
8775,97148,achievement
8776,97149,affection
8777,97150,affection
8778,97151,affection
8779,97152,affection
8780,97153,achievement
8781,97154,achievement
8782,97155,achievement
8783,97156,achievement
8784,97157,bonding
8785,97158,bonding
8786,97159,achievement
8787,97160,enjoy_the_moment
8788,97161,bonding
8789,97162,affection
8790,97163,achievement
8791,97164,achievement
8792,97165,affection
8793,97166,leisure
8794,97167,affection
8795,97168,bonding
8796,97169,achievement
8797,97170,achievement
8798,97171,achievement
8799,97172,enjoy_the_moment
8800,97173,affection
8801,97174,affection
8802,97175,bonding
8803,97176,achievement
8804,97177,bonding
8805,97178,exercise
8806,97179,achievement
8807,97180,affection
8808,97181,affection
8809,97182,achievement
8810,97183,affection
8811,97184,bonding
8812,97185,achievement
8813,97186,affection
8814,97187,bonding
8815,97188,achievement
8816,97189,enjoy_the_moment
8817,97190,affection
8818,97191,affection
8819,97192,bonding
8820,97193,affection
8821,97194,enjoy_the_moment
8822,97195,affection
8823,97196,affection
8824,97197,achievement
8825,97198,affection
8826,97199,affection
8827,97200,achievement
8828,97201,affection
8829,97202,affection
8830,97203,leisure
8831,97204,achievement
8832,97205,affection
8833,97206,achievement
8834,97207,affection
8835,97208,affection
8836,97209,achievement
8837,97210,affection
8838,97211,affection
8839,97212,affection
8840,97213,achievement
8841,97214,achievement
8842,97215,bonding
8843,97216,enjoy_the_moment
8844,97217,enjoy_the_moment
8845,97218,affection
8846,97219,achievement
8847,97220,achievement
8848,97221,bonding
8849,97222,achievement
8850,97223,achievement
8851,97224,achievement
8852,97225,leisure
8853,97226,affection
8854,97227,bonding
8855,97228,achievement
8856,97229,affection
8857,97230,bonding
8858,97232,affection
8859,97233,achievement
8860,97234,affection
8861,97235,leisure
8862,97236,achievement
8863,97237,affection
8864,97238,affection
8865,97239,affection
8866,97240,achievement
8867,97241,affection
8868,97242,enjoy_the_moment
8869,97243,achievement
8870,97244,achievement
8871,97245,affection
8872,97246,achievement
8873,97247,achievement
8874,97248,bonding
8875,97249,achievement
8876,97250,achievement
8877,97251,achievement
8878,97252,leisure
8879,97253,affection
8880,97254,affection
8881,97255,bonding
8882,97256,achievement
8883,97257,achievement
8884,97258,bonding
8885,97259,affection
8886,97260,achievement
8887,97261,achievement
8888,97262,achievement
8889,97263,achievement
8890,97264,achievement
8891,97265,achievement
8892,97266,achievement
8893,97267,achievement
8894,97268,achievement
8895,97269,affection
8896,97270,achievement
8897,97271,achievement
8898,97272,affection
8899,97273,achievement
8900,97274,affection
8901,97275,enjoy_the_moment
8902,97276,achievement
8903,97277,enjoy_the_moment
8904,97278,achievement
8905,97279,leisure
8906,97280,achievement
8907,97281,affection
8908,97282,affection
8909,97283,affection
8910,97284,achievement
8911,97285,affection
8912,97286,bonding
8913,97287,affection
8914,97288,enjoy_the_moment
8915,97289,achievement
8916,97290,affection
8917,97291,achievement
8918,97292,leisure
8919,97293,affection
8920,97294,achievement
8921,97295,achievement
8922,97296,achievement
8923,97297,affection
8924,97298,affection
8925,97299,affection
8926,97300,exercise
8927,97301,affection
8928,97302,achievement
8929,97303,leisure
8930,97304,achievement
8931,97305,enjoy_the_moment
8932,97306,affection
8933,97307,enjoy_the_moment
8934,97308,leisure
8935,97309,achievement
8936,97310,achievement
8937,97311,bonding
8938,97312,achievement
8939,97313,achievement
8940,97314,achievement
8941,97315,affection
8942,97316,affection
8943,97317,affection
8944,97318,achievement
8945,97319,achievement
8946,97320,enjoy_the_moment
8947,97321,affection
8948,97322,affection
8949,97323,affection
8950,97324,bonding
8951,97325,bonding
8952,97326,achievement
8953,97327,achievement
8954,97328,achievement
8955,97329,achievement
8956,97330,achievement
8957,97331,achievement
8958,97332,enjoy_the_moment
8959,97333,achievement
8960,97334,affection
8961,97335,achievement
8962,97336,achievement
8963,97337,enjoy_the_moment
8964,97338,achievement
8965,97339,achievement
8966,97340,achievement
8967,97341,achievement
8968,97342,affection
8969,97343,affection
8970,97344,affection
8971,97345,exercise
8972,97346,achievement
8973,97347,affection
8974,97348,affection
8975,97349,affection
8976,97350,achievement
8977,97351,bonding
8978,97352,bonding
8979,97353,achievement
8980,97354,leisure
8981,97355,achievement
8982,97356,leisure
8983,97357,achievement
8984,97358,affection
8985,97359,bonding
8986,97360,bonding
8987,97361,affection
8988,97362,affection
8989,97363,achievement
8990,97364,affection
8991,97365,affection
8992,97366,nature
8993,97367,affection
8994,97368,achievement
8995,97369,enjoy_the_moment
8996,97370,achievement
8997,97371,affection
8998,97372,achievement
8999,97373,affection
9000,97374,affection
9001,97375,enjoy_the_moment
9002,97376,achievement
9003,97377,enjoy_the_moment
9004,97378,achievement
9005,97379,achievement
9006,97380,leisure
9007,97381,enjoy_the_moment
9008,97382,achievement
9009,97383,achievement
9010,97384,achievement
9011,97385,affection
9012,97386,achievement
9013,97387,bonding
9014,97388,achievement
9015,97389,achievement
9016,97390,affection
9017,97391,affection
9018,97392,achievement
9019,97393,bonding
9020,97394,affection
9021,97395,achievement
9022,97396,achievement
9023,97397,achievement
9024,97398,affection
9025,97399,bonding
9026,97400,bonding
9027,97401,affection
9028,97402,achievement
9029,97403,affection
9030,97404,affection
9031,97405,achievement
9032,97406,achievement
9033,97407,bonding
9034,97408,achievement
9035,97409,nature
9036,97410,achievement
9037,97411,affection
9038,97412,achievement
9039,97413,bonding
9040,97414,enjoy_the_moment
9041,97415,leisure
9042,97416,affection
9043,97417,affection
9044,97418,leisure
9045,97419,bonding
9046,97420,enjoy_the_moment
9047,97421,bonding
9048,97422,affection
9049,97423,affection
9050,97424,achievement
9051,97425,affection
9052,97426,achievement
9053,97427,leisure
9054,97428,affection
9055,97429,leisure
9056,97430,affection
9057,97431,affection
9058,97432,achievement
9059,97433,achievement
9060,97434,leisure
9061,97435,affection
9062,97436,bonding
9063,97437,bonding
9064,97438,achievement
9065,97439,enjoy_the_moment
9066,97440,achievement
9067,97441,affection
9068,97442,achievement
9069,97443,affection
9070,97444,achievement
9071,97445,affection
9072,97446,enjoy_the_moment
9073,97447,nature
9074,97448,affection
9075,97449,affection
9076,97450,enjoy_the_moment
9077,97451,affection
9078,97452,bonding
9079,97453,affection
9080,97454,affection
9081,97455,leisure
9082,97456,affection
9083,97457,enjoy_the_moment
9084,97458,achievement
9085,97459,achievement
9086,97460,achievement
9087,97461,affection
9088,97462,achievement
9089,97463,affection
9090,97464,leisure
9091,97465,affection
9092,97466,enjoy_the_moment
9093,97467,achievement
9094,97468,achievement
9095,97469,achievement
9096,97470,bonding
9097,97471,achievement
9098,97472,affection
9099,97473,affection
9100,97474,affection
9101,97475,achievement
9102,97476,affection
9103,97477,achievement
9104,97478,achievement
9105,97479,achievement
9106,97480,achievement
9107,97481,affection
9108,97482,bonding
9109,97483,achievement
9110,97484,affection
9111,97485,achievement
9112,97486,enjoy_the_moment
9113,97487,bonding
9114,97488,affection
9115,97489,bonding
9116,97490,enjoy_the_moment
9117,97491,leisure
9118,97492,achievement
9119,97493,affection
9120,97494,affection
9121,97495,achievement
9122,97496,affection
9123,97497,nature
9124,97498,bonding
9125,97499,achievement
9126,97500,achievement
9127,97501,affection
9128,97502,achievement
9129,97503,affection
9130,97504,achievement
9131,97505,enjoy_the_moment
9132,97506,bonding
9133,97507,achievement
9134,97508,affection
9135,97509,achievement
9136,97510,achievement
9137,97511,affection
9138,97512,achievement
9139,97513,affection
9140,97514,achievement
9141,97515,achievement
9142,97516,achievement
9143,97517,affection
9144,97518,achievement
9145,97519,achievement
9146,97520,leisure
9147,97521,achievement
9148,97522,achievement
9149,97523,affection
9150,97524,achievement
9151,97525,affection
9152,97526,affection
9153,97527,achievement
9154,97528,nature
9155,97529,achievement
9156,97530,achievement
9157,97531,achievement
9158,97532,affection
9159,97533,leisure
9160,97534,achievement
9161,97535,bonding
9162,97536,achievement
9163,97537,enjoy_the_moment
9164,97538,nature
9165,97539,achievement
9166,97540,affection
9167,97541,leisure
9168,97542,achievement
9169,97543,achievement
9170,97544,achievement
9171,97545,achievement
9172,97546,achievement
9173,97547,achievement
9174,97548,affection
9175,97549,bonding
9176,97550,bonding
9177,97551,affection
9178,97552,affection
9179,97553,achievement
9180,97554,achievement
9181,97555,achievement
9182,97556,nature
9183,97557,achievement
9184,97558,achievement
9185,97559,leisure
9186,97560,achievement
9187,97561,affection
9188,97562,achievement
9189,97563,bonding
9190,97564,achievement
9191,97565,affection
9192,97566,affection
9193,97567,achievement
9194,97568,leisure
9195,97569,achievement
9196,97570,achievement
9197,97571,achievement
9198,97572,achievement
9199,97573,achievement
9200,97574,enjoy_the_moment
9201,97575,enjoy_the_moment
9202,97576,achievement
9203,97578,achievement
9204,97579,achievement
9205,97580,achievement
9206,97581,affection
9207,97582,affection
9208,97583,bonding
9209,97584,bonding
9210,97585,exercise
9211,97586,bonding
9212,97587,affection
9213,97588,achievement
9214,97589,affection
9215,97590,achievement
9216,97591,exercise
9217,97592,leisure
9218,97593,leisure
9219,97594,achievement
9220,97595,achievement
9221,97596,affection
9222,97597,achievement
9223,97598,achievement
9224,97599,affection
9225,97600,achievement
9226,97601,enjoy_the_moment
9227,97602,leisure
9228,97603,affection
9229,97604,bonding
9230,97605,affection
9231,97606,affection
9232,97607,affection
9233,97608,achievement
9234,97609,bonding
9235,97610,achievement
9236,97611,affection
9237,97612,leisure
9238,97613,leisure
9239,97614,achievement
9240,97615,affection
9241,97616,achievement
9242,97617,achievement
9243,97618,achievement
9244,97619,affection
9245,97620,leisure
9246,97621,achievement
9247,97622,affection
9248,97623,bonding
9249,97624,achievement
9250,97625,enjoy_the_moment
9251,97626,achievement
9252,97627,achievement
9253,97628,achievement
9254,97629,achievement
9255,97630,affection
9256,97631,achievement
9257,97632,achievement
9258,97633,achievement
9259,97634,affection
9260,97635,leisure
9261,97636,achievement
9262,97637,affection
9263,97638,achievement
9264,97639,affection
9265,97640,achievement
9266,97641,affection
9267,97642,enjoy_the_moment
9268,97643,achievement
9269,97644,affection
9270,97645,affection
9271,97646,achievement
9272,97647,affection
9273,97648,achievement
9274,97649,achievement
9275,97650,achievement
9276,97651,achievement
9277,97652,achievement
9278,97653,achievement
9279,97654,leisure
9280,97655,achievement
9281,97656,achievement
9282,97657,affection
9283,97658,achievement
9284,97659,achievement
9285,97660,affection
9286,97661,enjoy_the_moment
9287,97662,achievement
9288,97663,bonding
9289,97664,affection
9290,97665,enjoy_the_moment
9291,97666,leisure
9292,97667,achievement
9293,97668,bonding
9294,97669,achievement
9295,97670,enjoy_the_moment
9296,97671,enjoy_the_moment
9297,97672,affection
9298,97673,achievement
9299,97674,achievement
9300,97675,bonding
9301,97676,achievement
9302,97677,enjoy_the_moment
9303,97678,affection
9304,97679,bonding
9305,97680,affection
9306,97681,achievement
9307,97682,achievement
9308,97683,achievement
9309,97684,affection
9310,97685,affection
9311,97686,achievement
9312,97687,affection
9313,97688,affection
9314,97689,affection
9315,97690,achievement
9316,97691,achievement
9317,97692,achievement
9318,97693,affection
9319,97694,nature
9320,97695,affection
9321,97696,affection
9322,97697,achievement
9323,97698,bonding
9324,97699,affection
9325,97700,enjoy_the_moment
9326,97701,achievement
9327,97702,achievement
9328,97703,bonding
9329,97704,achievement
9330,97705,achievement
9331,97706,achievement
9332,97707,nature
9333,97708,enjoy_the_moment
9334,97709,achievement
9335,97710,achievement
9336,97711,achievement
9337,97712,affection
9338,97713,affection
9339,97714,achievement
9340,97715,leisure
9341,97716,achievement
9342,97717,achievement
9343,97718,achievement
9344,97719,achievement
9345,97720,affection
9346,97721,affection
9347,97722,achievement
9348,97723,achievement
9349,97724,affection
9350,97725,achievement
9351,97726,bonding
9352,97727,achievement
9353,97728,achievement
9354,97729,achievement
9355,97730,achievement
9356,97731,leisure
9357,97732,achievement
9358,97733,achievement
9359,97734,achievement
9360,97735,affection
9361,97736,nature
9362,97737,achievement
9363,97738,enjoy_the_moment
9364,97739,affection
9365,97740,bonding
9366,97741,achievement
9367,97742,achievement
9368,97743,affection
9369,97744,affection
9370,97745,affection
9371,97746,affection
9372,97747,affection
9373,97748,affection
9374,97749,affection
9375,97750,achievement
9376,97751,affection
9377,97752,achievement
9378,97753,achievement
9379,97754,achievement
9380,97755,achievement
9381,97756,nature
9382,97757,affection
9383,97758,bonding
9384,97759,enjoy_the_moment
9385,97760,achievement
9386,97761,enjoy_the_moment
9387,97762,leisure
9388,97763,bonding
9389,97764,affection
9390,97765,enjoy_the_moment
9391,97766,affection
9392,97767,affection
9393,97768,affection
9394,97769,leisure
9395,97770,achievement
9396,97771,achievement
9397,97772,achievement
9398,97773,enjoy_the_moment
9399,97774,bonding
9400,97775,enjoy_the_moment
9401,97776,enjoy_the_moment
9402,97777,achievement
9403,97778,bonding
9404,97779,achievement
9405,97780,achievement
9406,97781,achievement
9407,97782,achievement
9408,97783,achievement
9409,97784,bonding
9410,97785,achievement
9411,97786,affection
9412,97787,achievement
9413,97788,achievement
9414,97789,enjoy_the_moment
9415,97790,affection
9416,97791,achievement
9417,97792,bonding
9418,97793,affection
9419,97794,bonding
9420,97795,affection
9421,97796,enjoy_the_moment
9422,97797,affection
9423,97798,enjoy_the_moment
9424,97799,achievement
9425,97800,enjoy_the_moment
9426,97801,achievement
9427,97802,enjoy_the_moment
9428,97803,bonding
9429,97804,achievement
9430,97805,achievement
9431,97806,affection
9432,97807,achievement
9433,97808,enjoy_the_moment
9434,97809,achievement
9435,97810,achievement
9436,97811,enjoy_the_moment
9437,97812,leisure
9438,97813,achievement
9439,97814,achievement
9440,97815,affection
9441,97816,affection
9442,97817,affection
9443,97818,enjoy_the_moment
9444,97819,bonding
9445,97820,affection
9446,97821,achievement
9447,97822,achievement
9448,97823,enjoy_the_moment
9449,97824,affection
9450,97825,enjoy_the_moment
9451,97826,affection
9452,97827,affection
9453,97828,bonding
9454,97829,achievement
9455,97830,achievement
9456,97831,enjoy_the_moment
9457,97832,nature
9458,97833,affection
9459,97834,bonding
9460,97835,affection
9461,97836,achievement
9462,97837,achievement
9463,97838,bonding
9464,97839,achievement
9465,97840,affection
9466,97841,achievement
9467,97842,bonding
9468,97843,achievement
9469,97844,achievement
9470,97845,achievement
9471,97846,bonding
9472,97847,enjoy_the_moment
9473,97848,leisure
9474,97849,achievement
9475,97850,affection
9476,97851,enjoy_the_moment
9477,97852,enjoy_the_moment
9478,97853,achievement
9479,97854,nature
9480,97855,bonding
9481,97856,enjoy_the_moment
9482,97857,bonding
9483,97858,enjoy_the_moment
9484,97859,affection
9485,97860,achievement
9486,97861,affection
9487,97862,achievement
9488,97863,leisure
9489,97864,enjoy_the_moment
9490,97865,affection
9491,97866,enjoy_the_moment
9492,97867,achievement
9493,97868,achievement
9494,97869,achievement
9495,97870,nature
9496,97871,affection
9497,97872,achievement
9498,97873,achievement
9499,97874,bonding
9500,97875,achievement
9501,97876,achievement
9502,97877,enjoy_the_moment
9503,97878,achievement
9504,97879,achievement
9505,97880,achievement
9506,97881,enjoy_the_moment
9507,97882,achievement
9508,97883,affection
9509,97884,nature
9510,97885,bonding
9511,97886,achievement
9512,97887,affection
9513,97888,affection
9514,97889,nature
9515,97890,affection
9516,97891,enjoy_the_moment
9517,97892,bonding
9518,97893,affection
9519,97894,leisure
9520,97895,bonding
9521,97896,affection
9522,97897,achievement
9523,97898,affection
9524,97899,achievement
9525,97900,affection
9526,97901,achievement
9527,97902,affection
9528,97903,achievement
9529,97904,achievement
9530,97905,nature
9531,97906,achievement
9532,97907,achievement
9533,97908,achievement
9534,97909,affection
9535,97910,achievement
9536,97911,achievement
9537,97912,achievement
9538,97913,achievement
9539,97914,achievement
9540,97915,enjoy_the_moment
9541,97916,achievement
9542,97917,enjoy_the_moment
9543,97918,affection
9544,97919,achievement
9545,97920,achievement
9546,97921,affection
9547,97922,achievement
9548,97923,bonding
9549,97924,affection
9550,97925,achievement
9551,97926,affection
9552,97927,achievement
9553,97928,affection
9554,97929,achievement
9555,97930,achievement
9556,97931,bonding
9557,97932,affection
9558,97933,bonding
9559,97934,affection
9560,97935,affection
9561,97936,achievement
9562,97937,affection
9563,97938,achievement
9564,97939,bonding
9565,97940,achievement
9566,97941,achievement
9567,97942,leisure
9568,97943,achievement
9569,97944,nature
9570,97945,enjoy_the_moment
9571,97946,achievement
9572,97947,achievement
9573,97948,achievement
9574,97949,affection
9575,97950,affection
9576,97951,affection
9577,97952,bonding
9578,97953,affection
9579,97954,enjoy_the_moment
9580,97955,leisure
9581,97956,achievement
9582,97957,affection
9583,97958,affection
9584,97959,affection
9585,97960,bonding
9586,97961,achievement
9587,97962,leisure
9588,97963,achievement
9589,97964,affection
9590,97965,affection
9591,97966,affection
9592,97967,achievement
9593,97968,bonding
9594,97969,leisure
9595,97970,bonding
9596,97971,achievement
9597,97972,affection
9598,97973,leisure
9599,97974,nature
9600,97975,affection
9601,97976,enjoy_the_moment
9602,97977,achievement
9603,97978,achievement
9604,97979,achievement
9605,97980,affection
9606,97981,enjoy_the_moment
9607,97982,enjoy_the_moment
9608,97983,affection
9609,97984,bonding
9610,97985,achievement
9611,97986,affection
9612,97987,affection
9613,97988,affection
9614,97989,achievement
9615,97990,achievement
9616,97991,achievement
9617,97992,achievement
9618,97993,bonding
9619,97994,affection
9620,97995,achievement
9621,97996,affection
9622,97997,affection
9623,97998,affection
9624,97999,achievement
9625,98000,leisure
9626,98001,leisure
9627,98002,achievement
9628,98003,affection
9629,98004,leisure
9630,98005,achievement
9631,98006,affection
9632,98007,bonding
9633,98008,achievement
9634,98009,bonding
9635,98010,achievement
9636,98011,affection
9637,98012,affection
9638,98013,enjoy_the_moment
9639,98014,affection
9640,98015,affection
9641,98016,nature
9642,98017,bonding
9643,98018,affection
9644,98019,affection
9645,98020,exercise
9646,98021,achievement
9647,98022,affection
9648,98023,affection
9649,98024,achievement
9650,98025,affection
9651,98026,affection
9652,98027,affection
9653,98028,affection
9654,98029,enjoy_the_moment
9655,98030,achievement
9656,98031,affection
9657,98032,achievement
9658,98033,leisure
9659,98034,achievement
9660,98035,achievement
9661,98036,affection
9662,98037,achievement
9663,98038,achievement
9664,98039,affection
9665,98040,achievement
9666,98041,leisure
9667,98042,affection
9668,98043,leisure
9669,98044,affection
9670,98045,achievement
9671,98046,achievement
9672,98047,bonding
9673,98048,enjoy_the_moment
9674,98049,affection
9675,98050,affection
9676,98051,affection
9677,98052,achievement
9678,98053,affection
9679,98054,leisure
9680,98055,achievement
9681,98056,achievement
9682,98057,affection
9683,98058,affection
9684,98059,achievement
9685,98060,affection
9686,98061,achievement
9687,98062,affection
9688,98063,affection
9689,98064,enjoy_the_moment
9690,98065,bonding
9691,98066,achievement
9692,98067,affection
9693,98068,achievement
9694,98069,enjoy_the_moment
9695,98070,achievement
9696,98071,achievement
9697,98072,leisure
9698,98073,affection
9699,98074,achievement
9700,98075,achievement
9701,98076,affection
9702,98077,affection
9703,98078,affection
9704,98079,affection
9705,98080,achievement
9706,98081,achievement
9707,98082,affection
9708,98083,achievement
9709,98084,achievement
9710,98085,achievement
9711,98086,affection
9712,98087,affection
9713,98088,affection
9714,98089,achievement
9715,98090,affection
9716,98091,affection
9717,98092,affection
9718,98093,achievement
9719,98094,achievement
9720,98095,enjoy_the_moment
9721,98096,affection
9722,98097,bonding
9723,98098,affection
9724,98099,affection
9725,98100,affection
9726,98101,affection
9727,98102,affection
9728,98103,affection
9729,98104,achievement
9730,98105,affection
9731,98106,affection
9732,98107,affection
9733,98108,affection
9734,98109,bonding
9735,98110,affection
9736,98111,affection
9737,98112,affection
9738,98113,affection
9739,98114,affection
9740,98115,affection
9741,98116,achievement
9742,98117,achievement
9743,98118,achievement
9744,98119,affection
9745,98120,bonding
9746,98121,enjoy_the_moment
9747,98122,achievement
9748,98123,achievement
9749,98124,enjoy_the_moment
9750,98125,achievement
9751,98126,bonding
9752,98127,affection
9753,98129,bonding
9754,98130,affection
9755,98131,achievement
9756,98132,affection
9757,98133,affection
9758,98134,bonding
9759,98135,achievement
9760,98136,affection
9761,98137,leisure
9762,98138,bonding
9763,98139,bonding
9764,98140,achievement
9765,98141,affection
9766,98142,affection
9767,98143,affection
9768,98144,achievement
9769,98145,enjoy_the_moment
9770,98146,affection
9771,98147,achievement
9772,98148,affection
9773,98149,affection
9774,98150,leisure
9775,98151,bonding
9776,98152,achievement
9777,98153,bonding
9778,98154,enjoy_the_moment
9779,98155,leisure
9780,98156,affection
9781,98157,affection
9782,98158,achievement
9783,98159,enjoy_the_moment
9784,98160,affection
9785,98161,enjoy_the_moment
9786,98163,affection
9787,98164,affection
9788,98165,affection
9789,98166,achievement
9790,98167,affection
9791,98168,affection
9792,98169,achievement
9793,98170,affection
9794,98171,achievement
9795,98172,affection
9796,98173,affection
9797,98174,bonding
9798,98175,affection
9799,98176,affection
9800,98177,achievement
9801,98178,achievement
9802,98179,affection
9803,98181,affection
9804,98182,affection
9805,98183,achievement
9806,98184,bonding
9807,98185,achievement
9808,98186,bonding
9809,98187,achievement
9810,98188,leisure
9811,98189,affection
9812,98190,achievement
9813,98191,affection
9814,98192,affection
9815,98193,bonding
9816,98194,bonding
9817,98195,bonding
9818,98196,enjoy_the_moment
9819,98197,affection
9820,98198,achievement
9821,98199,achievement
9822,98200,affection
9823,98201,achievement
9824,98202,affection
9825,98203,enjoy_the_moment
9826,98204,affection
9827,98205,bonding
9828,98206,achievement
9829,98207,achievement
9830,98208,affection
9831,98209,achievement
9832,98210,achievement
9833,98211,achievement
9834,98212,affection
9835,98213,enjoy_the_moment
9836,98214,affection
9837,98215,bonding
9838,98216,achievement
9839,98217,achievement
9840,98218,affection
9841,98219,enjoy_the_moment
9842,98220,achievement
9843,98221,achievement
9844,98222,affection
9845,98223,affection
9846,98224,achievement
9847,98225,achievement
9848,98226,enjoy_the_moment
9849,98227,affection
9850,98228,affection
9851,98229,achievement
9852,98230,leisure
9853,98231,achievement
9854,98232,achievement
9855,98233,enjoy_the_moment
9856,98234,affection
9857,98235,affection
9858,98236,affection
9859,98237,enjoy_the_moment
9860,98238,leisure
9861,98239,achievement
9862,98240,affection
9863,98241,affection
9864,98242,achievement
9865,98243,achievement
9866,98244,bonding
9867,98245,affection
9868,98246,affection
9869,98247,leisure
9870,98248,affection
9871,98249,achievement
9872,98250,affection
9873,98251,enjoy_the_moment
9874,98252,achievement
9875,98253,achievement
9876,98254,enjoy_the_moment
9877,98255,leisure
9878,98257,affection
9879,98258,affection
9880,98259,affection
9881,98260,achievement
9882,98261,achievement
9883,98262,achievement
9884,98263,bonding
9885,98264,achievement
9886,98265,achievement
9887,98266,affection
9888,98267,affection
9889,98268,affection
9890,98269,achievement
9891,98270,achievement
9892,98271,achievement
9893,98272,bonding
9894,98273,achievement
9895,98274,enjoy_the_moment
9896,98275,achievement
9897,98276,achievement
9898,98277,bonding
9899,98278,affection
9900,98279,affection
9901,98280,achievement
9902,98281,affection
9903,98282,affection
9904,98283,achievement
9905,98284,bonding
9906,98285,affection
9907,98286,achievement
9908,98287,achievement
9909,98288,affection
9910,98289,achievement
9911,98290,achievement
9912,98291,affection
9913,98292,achievement
9914,98293,achievement
9915,98294,achievement
9916,98295,affection
9917,98296,affection
9918,98297,affection
9919,98298,affection
9920,98299,leisure
9921,98300,achievement
9922,98301,affection
9923,98302,enjoy_the_moment
9924,98303,affection
9925,98304,achievement
9926,98305,achievement
9927,98306,achievement
9928,98307,achievement
9929,98308,leisure
9930,98309,achievement
9931,98310,achievement
9932,98311,affection
9933,98312,achievement
9934,98313,enjoy_the_moment
9935,98314,achievement
9936,98315,affection
9937,98316,affection
9938,98317,affection
9939,98318,affection
